node_name,change_efficiency,degree,sum_edge_weights,eigen_centrality,betweenness,bonacich,sex_binary,perc_related
ID0072,6.67928295571829e-5,22,1.48317626975141,0.0951119064754129,49,0.0165725080872006,1,0.18181818181818182
ID0077,-7.66053487237628e-4,45,3.92967637291908,0.148636134644444,48,0.0276844367841415,1,0.4
ID0090,-1.92254891152766e-4,34,2.99643146098821,0.105800927195862,41,0.0111432198495146,0,0.29411764705882354
ID0092,2.3665808712775e-4,28,2.73712526235172,0.0775597731904857,49,0.00396723692997525,1,0.35714285714285715
ID0107,-6.6315826734703e-4,38,4.52567343214383,0.284529178957593,17,0.00967230362857033,0,0.2894736842105263
ID0114,-0.00138333924881223,38,5.1780537304839,0.139705552300503,48,0.0128039525053765,0,0.42105263157894735
ID0065,3.2810978368486e-4,27,1.76570243725644,0.0553467054763842,0,0.0239464882120312,1,0.2222222222222222
ID0101,-5.57485159811633e-4,39,4.59079749437465,0.143728016752637,5,0.0188021162960851,1,0.3333333333333333
ID0058,0.00256291595789665,1,0.142857142857143,0.00292872001347934,0,0.00437545962838036,0,1
ID0020,2.66265658543652e-4,24,1.73525482418948,0.055362849954409,12,0.00474917296310407,0,0.2916666666666667
ID0023,8.72483261299906e-4,13,1.29916323765662,0.162175054536025,28,0.00904564797372092,1,0.15384615384615385
ID0024,-9.17492238975748e-4,34,6.25236413023942,0.805806977930687,43,0.00534898016978101,0,0.2647058823529412
ID0051,-4.5387162358429e-4,27,3.53913448609305,0.433568681988192,0,0.0129016507923456,0,0
ID0102,-7.63346825281896e-4,39,4.8460649708392,0.131848518033926,15,0.00889030417979337,0,0.15384615384615385
ID0121,7.70486767375234e-5,26,2.61298924773394,0.268577664341531,7,0.0045606460663776,1,0.2692307692307692
ID0016,-4.97931358102721e-4,38,4.08659168147774,0.223952059177524,9,0.0020173533371541,0,0.10526315789473684
ID0052,-4.16345665706863e-4,33,3.37737167734951,0.184367527417179,5,-5.83573580364485e-4,0,0.09090909090909091
