,R5.97,R7,R7.92,R8.00,R10.98,R10.91,R10.87,R11,R11.95,R13.95B,R19.88,R17,R17.88,R18,R18.99,R31,R31.96,R22.99,R22.92,R22.89,R23,R23.93,R24,R25.96,R26,R26.00,R27.99,R27.97,R28.99,R28.9000,R29,M17,M17.95,M17.90,M17.86,M18,M18.99a,M18.95,M19.99,M19.95,M20.95,R33,R38.01,M1.8800,M2,M2.96,M4,M5,M6,M6.99,M8.98,M8.91,M8.9102,M8.88,M8.8800,M9,M9.96,M10,M11.91,M12,M13.02,M14,M14.93,M23.91,M24.04,M24.90,M25,M25.00,M26,M27.91,M28.97,M28.94,M30,M30.97,M31,M33,M33.95,M34.92,M35,M35.91,M41,M45.97,M45.93,M46,M47,M48,M48.97,M48.93,M52.92,M53.95B,M54.00,M56,M56.91,M56.9101,M56.87,M57.95,M58.91,M61,M62.95,M62.91,M63,M63.01,M63.94,M64.99,M64.95,M65.93,M67.90,M68,M68.00,M69,M69.93,M71.00,M72,M73.90,M77,M78,S91.97,S91.93,S92,S92.94
M53.95B,0.943396226,0.926605505,0.927272727,0.92,1,1,1,1,1,0.977272727,0.929487179,0.865671642,0.880434783,0.772277228,0.847058824,0.845070423,0.858156028,0.93081761,0.920289855,0.941860465,0.931818182,0.952380952,0.933333333,0.926136364,0.92,0.911764706,0.931034483,0.923976608,0.934911243,0.719298246,0.917647059,0.990909091,0.980582524,1,0.97260274,1,1,1,0.991666667,0.991596639,0.990825688,0.96875,0.983333333,0.95,0.972972973,0.965517241,0.959770115,0.966101695,0.959731544,0.914893617,0.949152542,0.956140351,0.926829268,0.925925926,0.93495935,0.97740113,0.982352941,0.965517241,0.989361702,0.989795918,1,1,0.989795918,0.953271028,1,0.969325153,0.953216374,0.957831325,0.940298507,0.972789116,0.980645161,0.974683544,0.946564885,0.967213115,0.925675676,0.983333333,1,0.980952381,0.983739837,0.980392157,1,0.916666667,0.922077922,0.924050633,0.930379747,0.95620438,0.955882353,0.963768116,0.549295775,0,0.842105263,1,1,1,1,1,1,1,1,1,0.965517241,0.963636364,0.975903614,0.980769231,0.970238095,0.928994083,0.97979798,0.97,0.97826087,0.97080292,0.935483871,0.983870968,0.963768116,0.933333333,0.932773109,0.894736842,0.972222222,0.965811966,0.958333333,0.962616822
M54.00,0.961538462,0.965517241,0.965517241,0.944444444,1,1,1,1,1,0.916666667,0.977777778,1,0.80952381,0.45,0.55,0.921052632,0.918918919,0.979166667,0.974358974,0.961538462,0.980392157,0.957446809,0.961538462,0.983050847,0.983333333,1,0.961538462,0.961538462,0.960784314,1,0.960784314,1,1,1,1,1,1,1,0.967741935,0.964285714,1,NA,0.953488372,1,NA,0.978723404,0.978723404,0.978723404,0.972972973,0.970588235,1,1,1,0.945945946,1,0.954545455,0.952380952,0.978723404,0.958333333,0.958333333,0.96,0.958333333,0.961538462,NA,1,1,1,1,NA,1,1,1,0.973684211,0.972222222,0.974358974,1,1,1,1,1,0.954545455,0.95,0.955555556,0.954545455,0.977777778,0.921052632,0.923076923,0.923076923,0.842105263,0.842105263,0,0.967741935,0.966666667,1,0.966666667,0.966666667,1,1,1,1,0.976190476,0.975,0.975609756,NA,0.974358974,0.98245614,0.967741935,0.9375,0.9375,1,NA,1,0.945945946,NA,0.942857143,0.933333333,1,0.9375,0.935483871,0.931034483
M56,1,1,1,1,0.904761905,0.895522388,0.914285714,0.924242424,0.90625,0.96969697,0.971631206,0.985714286,0.9875,0.98,0.975,0.978417266,0.977941176,0.979310345,0.967479675,0.961038961,0.968944099,0.986842105,0.963414634,1,1,1,0.98136646,0.9875,0.980645161,1,0.981132075,0.844155844,0.830985915,0.915254237,0.881355932,0.910714286,0.818181818,0.93220339,0.792682927,0.833333333,0.826666667,0.884615385,0.904761905,1,0.986486486,0.987179487,0.987261146,0.987421384,0.992424242,1,1,1,1,1,1,0.987261146,0.993333333,0.987179487,0.926470588,0.915492958,0.875,0.913043478,0.915492958,0.980392157,0.948717949,0.971830986,0.987096774,0.965753425,0.955223881,1,0.977443609,0.970588235,0.98245614,0.980392157,0.969924812,0.979591837,0.989473684,0.975903614,0.98019802,0.987654321,0.942307692,0.945945946,0.971428571,0.98630137,0.979166667,0.956896552,0.956521739,0.956896552,0.9875,1,0.967741935,0,0.045454545,0.125,0.088888889,0.088888889,0.941176471,0.92,0.827586207,0.830508475,0.946666667,0.925,0.957746479,0.975609756,0.944055944,1,1,1,1,0.991525424,1,0.980392157,0.974576271,1,0.96039604,0.925925926,0.977011494,0.96875,0.97,0.977011494
M56.91,1,1,1,1,0.919354839,0.909090909,0.927536232,0.938461538,0.920634921,0.96875,0.971223022,0.985507246,0.987179487,0.979591837,0.974358974,0.97810219,0.97761194,0.979020979,0.966942149,0.960526316,0.968553459,0.986666667,0.962962963,1,1,1,0.981132075,0.987341772,0.980392157,1,0.98089172,0.855263158,0.842857143,0.931034483,0.879310345,0.909090909,0.863636364,0.948275862,0.802469136,0.829268293,0.837837838,0.882352941,0.902439024,1,0.98630137,0.987012987,0.987096774,0.987261146,0.992307692,1,1,1,1,1,1,0.987096774,0.993243243,0.987012987,0.924242424,0.913043478,0.869565217,0.910447761,0.913043478,0.98019802,0.947368421,0.971428571,0.986928105,0.965277778,0.954545455,1,0.977099237,0.970149254,0.982142857,0.98,0.969465649,0.979166667,0.989247312,0.975308642,0.97979798,0.987341772,0.94,0.944444444,0.971014493,0.986111111,0.978873239,0.956140351,0.955752212,0.956140351,0.987179487,1,0.966666667,0.045454545,0,0.1875,0.090909091,0.090909091,0.93877551,0.916666667,0.821428571,0.824561404,0.945945946,0.923076923,0.957142857,0.975609756,0.943262411,1,1,1,1,0.99137931,1,0.98,0.974137931,1,0.95959596,0.923076923,0.976470588,0.968085106,0.969387755,0.976470588
M56.9101,1,1,1,1,0.823529412,0.842105263,0.894736842,0.894736842,0.823529412,0.958333333,0.979166667,1,1,0.965517241,0.962962963,0.975,0.974358974,0.959183673,0.973684211,0.962264151,0.960784314,1,0.962962963,1,1,1,0.981132075,0.981132075,0.980392157,1,0.980769231,0.772727273,0.80952381,0.8,1,0.9375,0.8,0.818181818,0.769230769,0.884615385,0.88,1,0.952380952,1,NA,0.977777778,0.977777778,0.977777778,1,1,1,1,1,1,1,0.977777778,0.976744186,0.977777778,0.956521739,0.956521739,0.958333333,0.956521739,0.958333333,NA,0.945945946,0.973684211,0.975609756,0.95,NA,1,0.975,0.947368421,0.972972973,0.971428571,0.974358974,1,1,1,1,1,0.888888889,0.972222222,0.979166667,1,0.979166667,0.975609756,0.976190476,0.975609756,0.95,1,1,0.125,0.1875,0,0.1875,0.066666667,0.888888889,0.888888889,0.944444444,0.944444444,0.952380952,0.948717949,0.976190476,NA,0.948717949,1,1,1,1,1,NA,1,1,NA,0.96969697,0.961538462,1,1,1,1
M56.87,1,1,1,1,0.901639344,0.892307692,0.911764706,0.921875,0.903225806,0.96875,0.978571429,0.985294118,0.987179487,0.979591837,0.974683544,0.97810219,0.97761194,0.986111111,0.966942149,0.967320261,0.975,0.986666667,0.969325153,1,1,1,0.981132075,0.987341772,0.980392157,1,0.98089172,0.84,0.808823529,0.912280702,0.859649123,0.886792453,0.80952381,0.929824561,0.7875,0.829268293,0.821917808,0.86,0.928571429,1,0.98630137,0.987012987,0.987096774,0.987261146,0.992307692,1,1,1,1,1,1,0.987096774,0.993243243,0.987012987,0.924242424,0.913043478,0.869565217,0.910447761,0.913043478,0.98019802,0.974358974,0.971428571,0.993506494,0.972413793,0.954545455,1,0.977099237,0.977777778,0.991150442,0.99009901,0.977272727,0.979166667,0.989247312,0.975308642,0.97979798,0.987341772,0.94,0.972972973,0.978417266,0.986111111,0.986013986,0.965217391,0.964912281,0.965217391,0.987179487,1,0.966666667,0.088888889,0.090909091,0.1875,0,0.090909091,0.93877551,0.916666667,0.821428571,0.824561404,0.953020134,0.95,0.957142857,0.975609756,0.950704225,1,1,1,1,0.99137931,1,0.98,0.974137931,1,0.95959596,0.923076923,0.976470588,0.968085106,0.969387755,0.976470588
M57.95,1,1,1,1,0.901639344,0.892307692,0.911764706,0.921875,0.903225806,0.96875,0.971223022,1,1,0.979591837,0.974683544,0.97810219,0.97761194,0.986111111,0.966942149,0.967320261,0.975,0.986666667,0.969325153,1,1,1,0.9875,0.987341772,0.987012987,1,0.987341772,0.855263158,0.826086957,0.912280702,0.879310345,0.907407407,0.80952381,0.929824561,0.802469136,0.843373494,0.837837838,0.882352941,0.928571429,1,0.986111111,0.987012987,0.987096774,0.987261146,1,1,1,1,1,1,1,0.993589744,0.993243243,0.987012987,0.940298507,0.928571429,0.916666667,0.926470588,0.928571429,0.98019802,0.947368421,0.971428571,0.986928105,0.965277778,0.953846154,1,0.977099237,0.970149254,0.982142857,0.98,0.969465649,0.989690722,1,0.987804878,0.99,1,0.94,0.944444444,0.971014493,0.986111111,0.978873239,0.956140351,0.955752212,0.956140351,0.987179487,1,0.966666667,0.088888889,0.090909091,0.066666667,0.090909091,0,0.93877551,0.93877551,0.8,0.803571429,0.945945946,0.923076923,0.957142857,0.975,0.943262411,1,1,1,1,0.982608696,1,0.98,0.974137931,1,0.95959596,0.923076923,0.976470588,0.968085106,0.969387755,0.976470588
M58.91,1,1,1,1,0.970588235,0.947368421,0.95,0.942857143,0.971428571,1,1,1,1,0.985074627,0.979166667,0.990654206,0.990384615,0.991150442,0.989130435,0.992,0.992366412,1,0.992592593,0.992424242,0.992424242,0.979166667,0.992248062,0.992125984,0.991869919,1,0.992125984,0.962264151,0.979166667,0.928571429,1,0.931034483,0.933333333,0.964285714,0.968253968,0.967741935,0.981132075,1,0.971428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973684211,0.976190476,1,0.975,0.976190476,1,1,1,1,1,1,1,1,1,0.987654321,0.985507246,0.990196078,0.96875,0.966666667,0.959183673,0.970149254,0.956521739,0.833333333,1,1,1,1,1,1,1,0.97826087,1,1,0.941176471,0.93877551,0.888888889,0.93877551,0.93877551,0,0.181818182,0.903225806,0.90625,0.991869919,0.96875,0.991150442,1,0.982608696,0.991935484,0.977272727,0.955555556,0.954545455,1,1,1,1,1,0.940298507,0.789473684,0.981481481,0.984375,0.985294118,0.981481481
M61,1,1,1,1,0.970588235,0.947368421,0.95,0.942857143,0.971428571,1,1,0.975609756,0.97826087,0.985074627,0.979166667,0.990654206,0.990384615,0.982142857,0.989130435,0.983870968,0.984615385,1,0.985074627,0.992424242,0.992424242,0.979166667,0.984375,0.992125984,0.983606557,1,0.984126984,0.962264151,0.979166667,0.928571429,1,0.933333333,0.933333333,0.964285714,0.968253968,0.967741935,0.981132075,1,0.941176471,1,1,1,1,1,0.989795918,1,1,1,1,1,1,0.991935484,1,1,0.945945946,0.951219512,0.9375,0.948717949,0.951219512,1,1,1,1,1,1,1,1,1,0.987654321,0.985507246,0.990196078,0.952380952,0.949152542,0.9375,0.954545455,0.933333333,0.833333333,1,1,1,1,1,1,1,0.97826087,1,1,0.92,0.916666667,0.888888889,0.916666667,0.93877551,0.181818182,0,0.9375,0.939393939,0.983606557,0.96875,0.982142857,1,0.973684211,0.991935484,0.977272727,0.955555556,0.954545455,1,1,1,1,1,0.940298507,0.789473684,0.981481481,0.984375,0.985294118,0.981481481
M62.95,1,1,1,1,0.979166667,0.981132075,0.981818182,0.98,1,1,0.991935484,1,1,1,1,0.991735537,0.991525424,1,0.990566038,0.992805755,0.993103448,1,0.993288591,1,1,1,1,1,1,1,1,0.921875,0.854545455,0.952380952,0.872340426,0.871794872,0.928571429,0.951219512,0.887323944,0.885714286,0.885245902,0.911111111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982142857,1,0.981481481,0.982142857,0.989361702,1,0.992,1,0.992307692,0.983333333,1,0.991304348,0.991596639,1,1,1,0.974358974,0.986666667,0.968253968,0.975308642,0.983606557,0.939393939,1,0.991869919,1,0.992063492,0.99,0.98989899,0.99,1,1,1,0.827586207,0.821428571,0.944444444,0.821428571,0.8,0.903225806,0.9375,0,0.115384615,0.99270073,1,0.992125984,1,0.992307692,1,1,1,1,0.989795918,1,1,1,1,0.963414634,0.9,0.985294118,0.987179487,0.987804878,0.985294118
M62.91,1,1,1,1,0.979591837,0.981481481,0.982142857,0.980392157,1,1,0.992,1,1,1,1,0.991803279,0.991596639,1,0.990654206,0.992857143,0.993150685,1,0.993333333,1,1,1,1,1,1,1,1,0.923076923,0.857142857,0.953488372,0.875,0.875,0.928571429,0.952380952,0.888888889,0.887323944,0.887096774,0.913043478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98245614,1,0.981818182,0.98245614,0.978723404,1,0.984,0.99270073,0.984615385,0.966666667,0.990825688,0.982608696,0.983193277,1,1,1,0.974683544,0.986842105,0.96875,0.975609756,0.983870968,0.941176471,1,0.991935484,1,0.992125984,0.99009901,0.99,0.99009901,1,1,1,0.830508475,0.824561404,0.944444444,0.824561404,0.803571429,0.90625,0.939393939,0.115384615,0,0.992753623,1,0.9921875,1,0.992366412,1,1,1,1,0.98989899,1,1,1,1,0.963855422,0.9,0.985507246,0.987341772,0.987951807,0.985507246
M63,1,0.981481481,0.981595092,1,0.98540146,0.985915493,0.986111111,0.992857143,0.985507246,0.977777778,0.903061224,0.959016393,0.965753425,0.951219512,0.957446809,0.94,0.944444444,0.941747573,0.940860215,0.940092166,0.936936937,0.958139535,0.933333333,0.978448276,0.978448276,0.971830986,0.96,0.968888889,0.968325792,0.991869919,0.959641256,0.987261146,1,1,0.991869919,0.99137931,1,1,0.988023952,0.994011976,0.987179487,0.982300885,0.723404255,0.988372093,0.989247312,0.991150442,0.991189427,0.991266376,0.995049505,1,0.994152047,0.993975904,0.976190476,0.984210526,0.988700565,0.991189427,0.995454545,0.986666667,0.948529412,0.95,0.891891892,0.949275362,0.942446043,0.933774834,0.942307692,0.935960591,0.913875598,0.911330049,0.914634146,0.947089947,0.932642487,0.928571429,0.912280702,0.9125,0.904761905,0.988095238,0.993939394,0.986928105,0.988304094,0.986666667,0.991935484,0.866666667,0.902564103,0.91,0.915,0.926966292,0.926553672,0.926966292,0.965753425,0.965517241,0.976190476,0.946666667,0.945945946,0.952380952,0.953020134,0.945945946,0.991869919,0.983606557,0.99270073,0.992753623,0,0.068965517,0.120689655,0.09375,0.07826087,0.982222222,1,1,1,0.926136364,0.951219512,0.93902439,0.926966292,0.912280702,0.952095808,0.921052632,0.960784314,0.94375,0.945121951,0.947019868
M63.01,1,0.976190476,0.976190476,1,1,1,1,1,1,0.941176471,0.865384615,1,1,0.925,0.921052632,0.941176471,0.94,0.949152542,0.9375,0.936507937,0.951612903,0.966666667,0.936507937,0.985915493,0.986111111,0.985507246,0.953125,0.969230769,0.984375,1,0.952380952,1,1,1,1,1,1,1,0.953488372,0.975609756,0.974358974,NA,0.733333333,0.973684211,NA,1,1,1,1,1,0.974358974,0.974358974,0.973684211,0.980392157,0.976190476,1,1,0.98245614,0.939393939,0.970588235,0.941176471,0.939393939,0.942857143,NA,0.93877551,0.93877551,0.87755102,0.9,NA,0.959183673,0.92,0.918367347,0.813953488,0.804878049,0.813953488,1,1,1,1,1,0.96875,0.886363636,0.867924528,0.886792453,0.907407407,0.895833333,0.897959184,0.895833333,0.935483871,0.963636364,0.975,0.925,0.923076923,0.948717949,0.95,0.923076923,0.96875,0.96875,1,1,0.068965517,0,0.103448276,NA,0.107142857,1,1,1,1,0.955555556,NA,0.977272727,0.957446809,NA,0.931818182,0.916666667,0.974358974,0.928571429,0.926829268,0.923076923
M63.94,1,0.986928105,0.987012987,1,0.984251969,0.984848485,0.985074627,0.992307692,0.984375,0.976,0.932291667,0.973684211,0.97826087,0.961538462,0.954545455,0.953367876,0.952631579,0.96,0.955307263,0.947368421,0.953703704,0.966183575,0.949771689,0.986607143,0.986607143,0.985915493,0.962962963,0.972222222,0.971698113,0.991150442,0.962616822,0.993243243,1,1,0.99122807,1,1,1,0.987261146,0.993630573,0.98630137,0.99047619,0.717391304,0.993865031,1,0.995391705,0.995412844,0.995454545,0.994791667,1,0.99378882,0.993589744,0.975609756,0.994505495,0.994047619,0.99078341,0.995238095,0.990740741,0.9609375,0.969924812,0.918918919,0.969465649,0.962121212,0.944444444,0.961538462,0.948979592,0.925742574,0.934343434,0.935064935,0.955801105,0.934782609,0.941798942,0.926829268,0.921052632,0.923497268,0.987341772,0.993548387,0.986013986,0.98757764,0.985714286,0.99122807,0.913043478,0.931937173,0.933333333,0.943877551,0.941520468,0.941176471,0.941520468,0.97826087,0.975903614,0.975609756,0.957746479,0.957142857,0.976190476,0.957142857,0.957142857,0.991150442,0.982142857,0.992125984,0.9921875,0.120689655,0.103448276,0,0.193548387,0.149122807,0.99078341,1,1,1,0.928143713,0.944444444,0.955414013,0.941520468,0.924528302,0.962264151,0.918918919,0.965277778,0.947019868,0.955128205,0.950704225
M64.99,1,1,1,NA,1,1,1,1,1,1,0.980392157,1,1,1,1,0.966101695,0.965517241,0.962264151,0.963636364,0.982142857,0.968253968,0.965517241,0.967741935,0.983333333,0.983870968,NA,0.984615385,0.983050847,0.984615385,1,0.984375,0.980769231,1,1,0.979166667,1,NA,1,1,1,0.98,0.978723404,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,0.976190476,0.977272727,NA,1,0.977272727,0.929824561,NA,0.965517241,0.950819672,0.945454545,0.966101695,0.980392157,0.959183673,0.944444444,0.959183673,0.976744186,0.962962963,0.977272727,1,0.977272727,0.977777778,0.976744186,1,NA,0.98,0.981818182,0.981132075,0.978723404,0.97826087,0.978723404,0.979591837,0.980769231,NA,0.975609756,0.975609756,NA,0.975609756,0.975,1,1,1,1,0.09375,NA,0.193548387,0,0.1875,0.98245614,1,1,NA,0.960784314,0.952380952,1,0.959183673,0.931818182,1,NA,1,1,1,1
M64.95,1,0.993630573,0.993670886,1,0.984615385,0.97761194,0.977941176,0.984848485,0.976923077,0.9765625,0.916666667,0.957264957,0.964028777,0.949044586,0.955223881,0.948717949,0.953367876,0.945,0.944444444,0.943127962,0.939814815,0.961722488,0.936073059,0.982300885,0.982300885,0.985507246,0.96347032,0.97260274,0.972093023,0.991525424,0.963133641,0.986666667,1,1,0.991596639,0.990990991,1,1,0.9875,0.99375,0.986577181,0.981651376,0.733333333,0.987878788,0.988888889,0.99086758,0.990909091,0.990990991,0.994871795,1,0.993902439,0.993710692,0.974358974,0.989130435,0.994152047,0.990909091,0.995305164,0.986238532,0.9375,0.947368421,0.914285714,0.946564885,0.939393939,0.931972789,0.93877551,0.933673469,0.910891089,0.908163265,0.911392405,0.945054945,0.930107527,0.925925926,0.921686747,0.922580645,0.913043478,0.98757764,0.993670886,0.98630137,0.987804878,0.986013986,0.982758621,0.909090909,0.916230366,0.923469388,0.923076923,0.923976608,0.923529412,0.923976608,0.971428571,0.970238095,0.974358974,0.944055944,0.943262411,0.948717949,0.950704225,0.943262411,0.982608696,0.973684211,0.992307692,0.992366412,0.07826087,0.107142857,0.149122807,0.1875,0,0.98630137,1,0.993006993,1,0.923076923,0.947368421,0.949685535,0.936416185,0.905660377,0.956521739,0.944444444,0.951724138,0.941176471,0.942675159,0.944444444
M65.93,0.987421384,0.968944099,0.969135802,0.96875,1,1,1,1,1,1,0.966507177,0.963963964,0.965986395,0.957831325,0.97972973,0.945544554,0.955223881,0.966981132,0.963350785,0.95,0.946666667,0.948598131,0.952173913,0.183206107,0.111111111,0.31372549,0.955555556,0.95045045,0.944700461,0.962962963,0.95045045,1,1,1,1,1,1,1,1,1,1,1,0.986111111,0.98255814,0.988888889,0.968468468,0.968609865,0.968888889,0.96969697,0.967213115,0.976331361,0.994011976,1,0.968085106,0.971428571,0.968609865,0.96744186,0.968468468,1,0.993197279,0.981132075,0.993103448,0.993197279,0.986394558,0.985074627,0.985981308,0.986666667,0.98630137,0.963855422,0.98989899,0.990243902,0.980676329,0.972527473,0.98255814,0.949494949,0.976047904,0.975460123,0.993548387,0.98245614,0.986754967,0.992,0.935483871,0.961352657,0.957142857,0.956937799,0.973262032,0.97311828,0.973262032,0.972972973,0.928994083,0.98245614,1,1,1,1,1,0.991935484,0.991935484,1,1,0.982222222,1,0.99078341,0.98245614,0.98630137,0,0.951048951,0.951724138,0.927272727,0.994708995,1,0.970588235,0.962162162,0.981818182,0.970760234,0.943396226,0.98089172,0.963414634,0.970414201,0.961038961
M67.90,0.934210526,0.951219512,0.951807229,0.973684211,1,1,1,1,1,1,0.985074627,0.962264151,0.941176471,0.95505618,0.971830986,0.984732824,0.984375,0.977941176,0.982758621,0.972789116,0.973856209,0.971631206,0.974522293,0.953642384,0.953642384,0.946428571,0.973509934,0.973154362,0.972413793,0.980392157,0.973154362,1,0.98630137,1,0.981481481,1,1,1,0.988764045,0.988636364,0.987179487,1,0.977777778,0.967391304,1,0.993243243,0.993288591,0.993377483,0.991869919,0.971428571,0.966666667,0.964705882,0.964285714,0.972972973,0.969072165,1,1,0.993243243,1,1,1,1,1,1,0.975,0.992647059,0.98630137,0.992907801,1,1,0.992063492,0.992307692,0.971153846,0.967391304,0.959349593,0.988888889,0.988372093,0.986666667,0.989247312,0.986111111,1,1,0.984962406,0.98540146,0.985294118,1,1,1,0.985915493,0.97979798,0.967741935,1,1,1,1,1,0.977272727,0.977272727,1,1,1,1,1,1,1,0.951048951,0,0.325581395,0.315789474,0.990825688,1,0.989361702,0.972477064,0.966666667,0.989473684,0.966666667,0.974358974,0.977272727,0.967032967,0.961038961
M68,0.935897436,0.926829268,0.927710843,0.95,1,0.984848485,0.985294118,0.984126984,0.983870968,1,0.985294118,0.963636364,0.942857143,0.944444444,0.958333333,0.969465649,0.96875,0.97826087,0.983050847,0.973154362,0.974193548,0.972027972,0.974842767,0.954248366,0.954248366,0.949152542,0.973856209,0.973509934,0.972789116,0.981132075,0.973509934,1,0.986666667,1,0.982142857,1,1,1,0.989010989,0.988888889,0.9875,1,0.979166667,0.978947368,1,0.993333333,0.993377483,0.993464052,0.992,0.973684211,0.978494624,0.977272727,0.967741935,0.98245614,0.98,1,1,0.993333333,0.984615385,0.985507246,1,0.985074627,0.985507246,1,0.976744186,0.992753623,0.979591837,0.985915493,0.981818182,1,0.9921875,0.992424242,0.971698113,0.968085106,0.968253968,0.989130435,0.988636364,0.987012987,0.989473684,0.986486486,0.978723404,1,0.985185185,0.985611511,0.985507246,1,1,1,0.972222222,0.97,0.9375,1,1,1,1,1,0.955555556,0.955555556,1,1,1,1,1,1,0.993006993,0.951724138,0.325581395,0,0.111111111,0.990990991,1,0.989583333,0.972972973,0.965517241,0.989690722,0.966666667,0.962025316,0.966292135,0.956521739,0.948717949
M68.00,0.928571429,0.935483871,0.935483871,0.947368421,1,1,1,1,1,1,1,1,0.916666667,0.935483871,0.931034483,0.952380952,0.951219512,0.96,0.975,0.944444444,0.942307692,0.93877551,0.944444444,0.931034483,0.93220339,0.947368421,0.924528302,0.924528302,0.921568627,1,0.923076923,1,0.962962963,1,0.875,1,1,1,0.970588235,0.967741935,0.965517241,NA,0.97826087,0.964285714,NA,0.978723404,0.978723404,0.978723404,1,1,0.965517241,0.965517241,0.964285714,0.975609756,0.96875,1,1,0.978723404,1,1,1,1,1,NA,0.975609756,0.975609756,0.977272727,0.977272727,NA,1,0.976744186,0.976190476,0.948717949,0.945945946,0.948717949,0.962962963,0.962962963,0.962962963,0.962962963,0.956521739,1,1,1,1,1,1,1,1,1,0.97826087,0.9375,1,1,1,1,1,0.954545455,0.954545455,1,1,1,1,1,NA,1,0.927272727,0.315789474,0.111111111,0,0.972222222,NA,0.970588235,0.973684211,NA,0.972222222,0.966666667,1,0.970588235,0.96969697,0.967741935
M69,1,0.992,0.992063492,1,1,1,1,1,1,0.923913043,0.893081761,0.989010989,0.990990991,0.976923077,0.972222222,0.957831325,0.957055215,0.953216374,0.980645161,0.956284153,0.95212766,0.95480226,0.953125,0.984615385,0.984615385,1,0.984375,0.978835979,0.978378378,0.988636364,0.978835979,0.974358974,0.972972973,0.978494624,0.966666667,0.987654321,1,0.989247312,0.984375,0.984251969,0.991525424,0.950617284,0.914893617,0.992537313,0.951219512,0.972826087,0.972972973,0.973262032,0.975,1,0.984732824,0.984126984,1,0.993464052,0.985507246,0.994708995,0.994475138,0.972826087,0.97029703,0.961538462,0.967741935,0.970873786,0.971428571,0.943548387,0.954545455,0.920731707,0.931818182,0.935672515,0.890410959,0.933333333,0.949685535,0.957317073,0.869230769,0.884297521,0.88,0.992307692,0.992063492,0.991304348,0.977099237,0.972727273,1,0.951219512,0.892405063,0.895061728,0.894409938,0.921985816,0.913669065,0.914285714,0.972477064,0.97080292,1,0.991525424,0.99137931,1,0.99137931,0.982608696,1,1,0.989795918,0.98989899,0.926136364,0.955555556,0.928143713,0.960784314,0.923076923,0.994708995,0.990825688,0.990990991,0.972222222,0,0.263157895,0.846153846,0.848484848,0.869565217,0.961832061,1,0.928571429,0.907563025,0.910569106,0.899082569
M69.93,1,1,1,NA,1,1,1,1,1,0.888888889,0.903225806,1,1,0.965517241,0.947368421,0.894736842,0.891891892,0.967741935,0.96969697,0.970588235,0.975609756,0.972222222,0.975,0.95,0.952380952,NA,0.977777778,0.974358974,0.977777778,0.956521739,0.977272727,0.939393939,0.933333333,0.933333333,0.933333333,1,NA,1,0.931034483,0.933333333,0.96875,0.928571429,NA,1,0.928571429,0.918918919,0.925,0.926829268,0.909090909,NA,0.967741935,0.964285714,NA,1,0.971428571,1,1,0.926829268,0.958333333,0.961538462,NA,0.958333333,0.961538462,0.942857143,NA,0.9375,0.947368421,0.96875,0.941176471,0.961538462,1,1,0.9,0.961538462,0.914285714,0.962962963,1,0.962962963,0.925925926,0.92,1,NA,0.9,0.914285714,0.909090909,1,1,1,0.933333333,0.935483871,NA,1,1,NA,1,1,1,1,1,1,0.951219512,NA,0.944444444,0.952380952,0.947368421,1,1,1,NA,0.263157895,0,0.85,0.814814815,0.884615385,1,NA,1,0.952380952,0.96,0.947368421
M71.00,1,0.990909091,0.990990991,0.976190476,0.988095238,0.988764045,0.989010989,1,0.988235294,0.936708861,0.897260274,0.987179487,0.989583333,0.964912281,0.979381443,0.946666667,0.952702703,0.941935484,0.932835821,0.958579882,0.941860465,0.944099379,0.943181818,0.954285714,0.960227273,0.967213115,0.988764045,0.982857143,0.976470588,1,0.982857143,1,1,1,1,1,1,1,1,1,1,0.985915493,0.913043478,0.974358974,0.972222222,0.970414201,0.970588235,0.970930233,0.986394558,1,0.982758621,1,1,0.97037037,0.983739837,0.994252874,0.993975904,0.970414201,0.94047619,0.931034483,0.931034483,0.903614458,0.931034483,0.955752212,0.953488372,0.934210526,0.951515152,0.949685535,0.954545455,0.949275362,0.95890411,0.96,0.9,0.909090909,0.875,0.991304348,1,0.99,0.991525424,0.989690722,1,0.921052632,0.888888889,0.899328859,0.898648649,0.937984496,0.929133858,0.9296875,0.978947368,0.983870968,1,0.980392157,0.98,1,0.98,0.98,1,1,1,1,0.93902439,0.977272727,0.955414013,1,0.949685535,0.970588235,0.989361702,0.989583333,0.970588235,0.846153846,0.85,0,0.369047619,0.891891892,0.974576271,1,0.719512195,0.630952381,0.647727273,0.734939759
