"Dolphin.ID","T2008","T2010","T2012","T2014","T2016","T2018","Birth.Date","Weaning.Date","Last.Sighting.Date","Death.Date","Sex"
"ID0074",NA,5,8,14,21,12,"2007-11-01","2011-09-28","2019-10-08","","FEMALE"
"ID0075",13,23,34,34,28,25,"1982-11-01","","2019-12-02","","MALE"
"ID0076",6,6,10,9,5,11,"1989-11-01","","2019-12-04","","MALE"
"ID0077",33,27,29,20,NA,NA,"1989-11-01","1995-10-01","2015-06-10","2015-06-18","FEMALE"
"ID0078",15,13,18,17,17,9,"2000-11-01","2003-09-02","2019-12-04","","FEMALE"
"ID0079",NA,NA,NA,NA,NA,6,"2014-12-01","2018-02-21","2019-12-07","","FEMALE"
"ID0080",51,46,35,82,35,34,"1992-12-06","1997-06-05","2019-12-07","","FEMALE"
"ID0081",NA,3,6,3,NA,NA,"2007-01-15","2010-04-30","2014-09-26","2016-05-01","MALE"
"ID0082",9,NA,NA,NA,NA,NA,"1977-11-01","","2009-07-17","2010-05-01","MALE"
"ID0083",11,23,36,37,32,22,"1981-11-01","","2019-12-02","","MALE"
"ID0084",NA,NA,NA,33,37,28,"2011-10-26","2015-07-26","2019-12-02","","MALE"
"ID0085",7,17,9,1,NA,NA,"1979-11-01","","2014-07-15","2015-05-01","MALE"
"ID0086",56,37,26,88,37,13,"1976-12-01","","2018-10-31","2019-03-22","FEMALE"
"ID0087",11,25,36,39,16,NA,"1988-10-15","1994-01-01","2016-10-22","2018-05-01","MALE"
"ID0088",10,14,12,9,13,14,"2004-10-20","2008-04-15","2019-10-20","","MALE"
"ID0089",NA,NA,NA,NA,2,10,"2011-11-26","2017-08-30","2019-10-09","","MALE"
"ID0090",14,19,25,7,NA,NA,"1972-11-01","","2014-11-25","2015-05-01","MALE"
"ID0091",NA,NA,8,12,9,10,"2009-11-01","2013-01-17","2019-12-03","","MALE"
"ID0092",28,27,27,40,18,26,"1997-10-08","2002-08-18","2019-12-03","","FEMALE"
"ID0093",5,6,13,10,5,NA,"1988-11-01","","2017-07-16","2019-05-01","MALE"
"ID0094",13,24,27,33,22,17,"1980-11-01","","2019-12-03","","MALE"
"ID0095",NA,NA,NA,NA,1,5,"2011-11-01","2017-08-05","2019-12-03","","UNKNOWN"
"ID0096",NA,NA,NA,15,17,24,"2012-03-23","2015-06-18","2019-12-03","","FEMALE"
"ID0097",6,5,6,NA,NA,NA,"1995-11-01","","2013-11-11","2014-05-01","FEMALE"
"ID0098",NA,NA,NA,NA,NA,27,"2009-12-12","2018-03-02","2019-12-04","","MALE"
"ID0099",NA,NA,NA,NA,14,7,"2011-11-24","2016-01-10","2019-12-07","","MALE"
"ID0100",NA,NA,NA,NA,NA,5,"2013-08-01","2018-08-10","2019-10-09","","FEMALE"
"ID0101",39,34,31,58,28,7,"1994-10-25","1998-07-09","2018-07-26","2018-07-27","FEMALE"
"ID0102",NA,20,28,52,24,29,"2006-11-30","2010-07-15","2019-12-07","","MALE"
"ID0103",27,26,39,38,23,29,"1994-11-01","1998-05-21","2019-12-07","","FEMALE"
"ID0104",14,11,NA,NA,NA,NA,"1979-11-01","","2011-06-27","2013-11-01","FEMALE"
"ID0105",10,2,NA,NA,NA,NA,"1999-11-01","2003-08-02","2010-06-02","2011-05-01","FEMALE"
