"ID1","ID2","T2008","T2010","T2012","T2014","T2016","T2018","relatedness_coef"
"ID0081","ID0001",NA,NA,0,0,NA,NA,NA
"ID0083","ID0001",NA,NA,0,0.0392156862745098,0,0,0.026
"ID0084","ID0001",NA,NA,NA,0,0,0,0
"ID0001","ID0085",NA,NA,0,0,NA,NA,NA
"ID0086","ID0001",NA,NA,0,0,0,0,0
"ID0087","ID0001",NA,NA,0,0.0754716981132075,0,NA,NA
"ID0001","ID0088",NA,NA,0,0,0,0,0
"ID0001","ID0089",NA,NA,NA,NA,0,0,0
"ID0090","ID0001",NA,NA,0,0,NA,NA,0.0061
"ID0091","ID0001",NA,NA,0.166666666666667,0.230769230769231,0.117647058823529,0.125,0
"ID0092","ID0001",NA,NA,0,0,0,0,0.006
"ID0093","ID0001",NA,NA,0,0,0,NA,0
"ID0001","ID0094",NA,NA,0,0.0425531914893617,0,0,0.0157
"ID0001","ID0095",NA,NA,NA,NA,0,0,NA
"ID0001","ID0096",NA,NA,NA,0,0,0,0
"ID0097","ID0001",NA,NA,0,NA,NA,NA,NA
"ID0098","ID0001",NA,NA,NA,NA,NA,0,9e-04
"ID0001","ID0099",NA,NA,NA,NA,0.0909090909090909,0,0
"ID0001","ID0100",NA,NA,NA,NA,NA,0,0
"ID0001","ID0101",NA,NA,0,0,0,0,0
"ID0102","ID0001",NA,NA,0,0.0303030303030303,0.0625,0,0.0096
"ID0103","ID0001",NA,NA,0,0,0,0,0.01
"ID0001","ID0107",NA,NA,0,0.0350877192982456,0,0,0
"ID0108","ID0001",NA,NA,0,0,0,0,0.0244
"ID0109","ID0001",NA,NA,NA,0,0,0,0.0212
"ID0001","ID0111",NA,NA,NA,NA,NA,0.545454545454545,0
"ID0112","ID0001",NA,NA,0,0,0,0,0
"ID0001","ID0114",NA,NA,0,0,0.0666666666666667,0,0
"ID0115","ID0001",NA,NA,0,0,0,0,0
"ID0001","ID0116",NA,NA,NA,NA,NA,0,NA
"ID0001","ID0117",NA,NA,NA,0,0,0,0
"ID0118","ID0001",NA,NA,0,0.0476190476190476,0,0,0.0219
"ID0119","ID0001",NA,NA,0,0,0,0,0
"ID0120","ID0001",NA,NA,0,0.0307692307692308,0,0,0
"ID0121","ID0001",NA,NA,0,0.0689655172413793,0,0,0.0021
"ID0001","ID0122",NA,NA,0,0,0,0,0.0446
